timestamp,open,high,low,close,volume
2024-11-04 00:00:00+05:30,5762.4,5808.2,5720.0,5798.3,103309
2024-11-05 00:00:00+05:30,5767.0,5867.2,5620.1,5670.35,192305
2024-11-06 00:00:00+05:30,5700.2,5865.0,5661.0,5853.8,190000
2024-11-07 00:00:00+05:30,5920.0,5958.9,5675.15,5723.8,459856
2024-11-08 00:00:00+05:30,5726.85,5786.9,5677.6,5706.5,258565
2024-11-11 00:00:00+05:30,5712.0,5745.1,5571.05,5623.85,266763
2024-11-12 00:00:00+05:30,5650.0,5677.4,5444.1,5503.4,306620
2024-11-13 00:00:00+05:30,5500.0,5637.6,5361.05,5571.2,621020
2024-11-14 00:00:00+05:30,5566.05,5665.95,5491.55,5524.95,308852
2024-11-18 00:00:00+05:30,5550.0,5608.6,5492.5,5515.15,266630
2024-11-19 00:00:00+05:30,5490.0,5599.8,5463.0,5529.8,284770
2024-11-21 00:00:00+05:30,5571.0,5665.0,5532.05,5604.75,514688
2024-11-22 00:00:00+05:30,5605.15,5622.8,5511.5,5583.35,108563
2024-11-25 00:00:00+05:30,5699.0,5718.5,5374.2,5478.3,6069361
2024-11-26 00:00:00+05:30,5437.1,5538.85,5433.0,5484.4,198823
2024-11-27 00:00:00+05:30,5497.25,5528.95,5401.35,5449.85,163882
2024-11-28 00:00:00+05:30,5459.0,5492.5,5418.85,5457.15,161971
2024-11-29 00:00:00+05:30,5472.0,5650.0,5457.15,5642.45,289092
2024-12-02 00:00:00+05:30,5658.0,5751.0,5650.0,5692.75,123812
2024-12-03 00:00:00+05:30,5708.8,5722.7,5621.45,5637.35,141938
2024-12-04 00:00:00+05:30,5647.8,5716.2,5632.8,5672.7,232021
2024-12-05 00:00:00+05:30,5629.55,5681.85,5580.05,5643.95,162869
2024-12-06 00:00:00+05:30,5631.0,5649.85,5493.05,5505.4,202595
2024-12-09 00:00:00+05:30,5532.95,5700.0,5461.1,5484.6,113570
2024-12-10 00:00:00+05:30,5495.1,5508.75,5433.0,5459.45,136168
2024-12-11 00:00:00+05:30,5474.0,5516.8,5425.05,5489.95,79442
2024-12-12 00:00:00+05:30,5529.45,5535.0,5405.5,5435.25,131028
2024-12-13 00:00:00+05:30,5435.25,5447.0,5341.55,5372.55,70477
2024-12-16 00:00:00+05:30,5353.35,5453.9,5351.65,5442.8,82592
2024-12-17 00:00:00+05:30,5434.0,5452.25,5361.5,5391.65,123973
2024-12-18 00:00:00+05:30,5414.0,5537.7,5395.0,5493.25,241974
2024-12-19 00:00:00+05:30,5477.0,5525.05,5401.0,5494.25,71302
2024-12-20 00:00:00+05:30,5535.0,5543.25,5404.8,5427.5,113105
2024-12-23 00:00:00+05:30,5431.3,5495.5,5378.55,5481.9,84938
2024-12-24 00:00:00+05:30,5481.9,5488.15,5383.55,5406.3,28643
2024-12-26 00:00:00+05:30,5379.85,5455.9,5345.05,5408.6,80638
2024-12-27 00:00:00+05:30,5406.35,5515.0,5395.65,5482.7,76521
2024-12-30 00:00:00+05:30,5522.85,5600.0,5493.25,5569.25,170867
2024-12-31 00:00:00+05:30,5569.35,5684.65,5550.0,5633.9,206537
2025-01-01 00:00:00+05:30,5673.9,5673.9,5563.25,5571.0,48323
2025-01-02 00:00:00+05:30,5600.0,5606.95,5515.0,5579.75,43043
2025-01-03 00:00:00+05:30,5609.0,5610.0,5486.05,5502.65,63705
2025-01-06 00:00:00+05:30,5476.15,5545.2,5447.35,5527.0,80419
2025-01-07 00:00:00+05:30,5527.15,5669.9,5517.5,5562.8,112844
2025-01-08 00:00:00+05:30,5555.95,5579.95,5475.75,5561.7,124256
2025-01-09 00:00:00+05:30,5566.4,5582.6,5420.0,5453.95,55782
2025-01-10 00:00:00+05:30,5429.0,5471.45,5311.65,5376.05,116794
2025-01-13 00:00:00+05:30,5301.0,5461.0,5213.75,5227.4,74385
2025-01-14 00:00:00+05:30,5248.9,5296.0,5219.4,5264.8,53375
2025-01-15 00:00:00+05:30,5302.1,5302.25,5143.0,5201.5,105851
2025-01-16 00:00:00+05:30,5200.0,5221.4,5149.75,5181.8,112811
2025-01-17 00:00:00+05:30,5192.0,5283.5,5166.5,5255.85,74860
2025-01-20 00:00:00+05:30,5260.65,5285.0,5183.5,5238.0,46132
2025-01-21 00:00:00+05:30,5264.0,5299.0,5153.0,5177.3,42800
2025-01-22 00:00:00+05:30,5189.7,5236.15,5066.3,5151.45,105924
2025-01-23 00:00:00+05:30,5160.0,5250.0,5111.1,5183.5,34691
2025-01-24 00:00:00+05:30,5185.05,5200.95,4999.0,5022.7,131775
2025-01-27 00:00:00+05:30,4992.2,5049.2,4890.55,4962.85,102577
2025-01-28 00:00:00+05:30,4938.6,4964.85,4869.25,4916.05,126546
2025-01-29 00:00:00+05:30,4915.0,5028.2,4906.75,5004.3,61140
2025-01-30 00:00:00+05:30,5004.3,5120.0,4992.8,5050.4,73658
2025-01-31 00:00:00+05:30,5040.45,5087.95,5010.1,5063.05,75175
2025-02-01 00:00:00+05:30,5044.0,5143.25,5000.0,5029.6,45136
2025-02-03 00:00:00+05:30,5022.65,5107.35,4977.6,5048.45,97298
2025-02-04 00:00:00+05:30,5048.5,5135.95,5020.0,5105.9,186828
2025-02-05 00:00:00+05:30,5140.0,5193.85,5072.35,5117.95,82446
2025-02-06 00:00:00+05:30,5095.0,5271.95,5095.0,5255.7,153921
2025-02-07 00:00:00+05:30,5299.4,5318.0,5036.0,5151.35,328414
2025-02-10 00:00:00+05:30,5095.05,5095.05,4785.0,4800.85,781373
2025-02-11 00:00:00+05:30,4800.95,4816.05,4603.0,4703.5,394075
2025-02-12 00:00:00+05:30,4703.5,4810.65,4562.65,4708.6,237645
2025-02-13 00:00:00+05:30,4723.2,4764.05,4690.5,4719.55,92205
2025-02-14 00:00:00+05:30,4710.0,4713.4,4585.25,4651.5,223062
2025-02-17 00:00:00+05:30,4655.0,4804.95,4570.0,4794.3,231449
2025-02-18 00:00:00+05:30,4735.0,4806.0,4705.85,4722.15,89080
2025-02-19 00:00:00+05:30,4698.0,4756.25,4624.65,4741.7,129477
2025-02-20 00:00:00+05:30,4712.0,4768.6,4690.5,4720.0,201094
2025-02-21 00:00:00+05:30,4744.75,4745.0,4582.1,4601.25,278927
2025-02-24 00:00:00+05:30,4590.0,4633.4,4572.6,4609.05,97095
2025-02-25 00:00:00+05:30,4611.0,4649.8,4540.0,4563.7,123125
2025-02-27 00:00:00+05:30,4610.4,4628.95,4522.0,4612.5,228063
2025-02-28 00:00:00+05:30,4600.0,4785.15,4491.65,4646.2,527520
2025-03-03 00:00:00+05:30,4601.0,4628.1,4523.0,4600.35,76539
2025-03-04 00:00:00+05:30,4591.2,4634.0,4523.05,4614.65,140023
2025-03-05 00:00:00+05:30,4610.0,4706.75,4572.15,4696.5,257069
2025-03-06 00:00:00+05:30,4696.5,4780.0,4676.5,4746.2,112602
2025-03-07 00:00:00+05:30,4730.0,4782.35,4675.05,4738.05,186716
2025-03-10 00:00:00+05:30,4738.0,4757.0,4608.0,4632.5,102551
2025-03-11 00:00:00+05:30,4610.0,4790.0,4610.0,4777.75,85295
2025-03-12 00:00:00+05:30,4775.0,4805.9,4696.5,4749.4,99185
2025-03-13 00:00:00+05:30,4779.95,4779.95,4681.4,4706.95,72930
2025-03-17 00:00:00+05:30,4729.5,4840.0,4725.0,4818.15,160256
2025-03-18 00:00:00+05:30,4870.0,4870.0,4791.0,4810.6,83976
2025-03-19 00:00:00+05:30,4840.0,4855.0,4789.0,4851.8,60266
2025-03-20 00:00:00+05:30,4880.0,4944.5,4842.1,4906.2,88230
2025-03-21 00:00:00+05:30,4904.0,5016.75,4881.5,4979.0,151296
2025-03-24 00:00:00+05:30,5015.0,5092.4,4960.55,5052.55,84099
2025-03-25 00:00:00+05:30,5087.0,5090.0,4938.8,5033.2,84337
2025-03-26 00:00:00+05:30,5029.0,5080.0,4966.6,5003.2,88764
2025-03-27 00:00:00+05:30,5003.0,5003.0,4905.0,4960.15,128003
2025-03-28 00:00:00+05:30,4939.15,4980.65,4848.0,4881.7,151360
2025-04-01 00:00:00+05:30,4889.95,4950.0,4804.55,4835.55,32852
2025-04-02 00:00:00+05:30,4856.65,4906.25,4788.0,4887.7,75912
2025-04-03 00:00:00+05:30,4929.95,5012.95,4911.9,4971.55,192699
2025-04-04 00:00:00+05:30,4900.0,4929.25,4738.55,4828.7,83897
2025-04-07 00:00:00+05:30,4623.0,4733.95,4611.85,4700.5,141582
2025-04-08 00:00:00+05:30,4799.45,4876.75,4700.65,4837.15,79702
2025-04-09 00:00:00+05:30,4772.15,4852.5,4755.1,4838.85,69215
2025-04-11 00:00:00+05:30,4900.0,4909.35,4840.0,4887.45,50959
2025-04-15 00:00:00+05:30,4900.0,4950.0,4852.0,4920.8,97788
2025-04-16 00:00:00+05:30,4949.9,4985.4,4913.6,4957.6,64140
2025-04-17 00:00:00+05:30,4979.0,4989.5,4881.1,4953.3,45830
2025-04-21 00:00:00+05:30,4960.0,5008.0,4921.0,5000.4,97952
2025-04-22 00:00:00+05:30,5010.0,5075.0,4988.7,5013.6,43203
2025-04-23 00:00:00+05:30,5064.9,5250.5,5020.0,5233.0,162739
2025-04-24 00:00:00+05:30,5268.0,5299.0,5165.5,5201.2,138180
2025-04-25 00:00:00+05:30,5238.0,5238.0,4990.0,5033.5,78196
2025-04-28 00:00:00+05:30,4999.0,5088.0,4995.0,5025.8,51506
2025-04-29 00:00:00+05:30,5028.1,5047.3,4960.7,5030.8,53059
2025-04-30 00:00:00+05:30,5041.0,5165.9,5041.0,5116.0,114595
